name,brand,category,price,rating,review,doRecommend
Acer S20,Acer,phone,486,4.8,Highly recommended product,1
Motorola S18,Motorola,phone,1032,5.0,Battery lasts long and smooth usage,1
Xiaomi Tab A10,Xiaomi,tablet,695,4.1,Very good for the price,1
Asus Tab S6,Asus,tablet,206,4.4,Battery lasts long and smooth usage,1
HP GT15,HP,phone,309,3.7,Excellent quality and design,0
HP Pro 15,HP,laptop,626,4.3,Great performance and battery life,1
Motorola Book 13,Motorola,laptop,1081,3.6,Fast and reliable device,0
Apple Note10,Apple,phone,545,4.8,Excellent quality and design,1
Asus Tab X8,Asus,tablet,123,4.2,Great performance and battery life,1
Huawei Flex 6,Huawei,laptop,465,3.5,Great performance and battery life,0
Dell Flex 14,Dell,laptop,676,4.0,Very good for the price,1
Samsung Pro 8,Samsung,laptop,1294,4.7,Decent product for daily use,1
MSI Tab A9,MSI,tablet,603,4.4,Great performance and battery life,1
Asus Pro21,Asus,phone,837,4.9,Very good for the price,1
MSI Elite 7,MSI,laptop,572,4.9,Battery lasts long and smooth usage,1
Lenovo Tab A5,Lenovo,tablet,403,3.8,Great performance and battery life,0
Lenovo Tab X1,Lenovo,tablet,715,4.7,Works well but could be better,1
Realme Note21,Realme,phone,1173,4.6,Fast and reliable device,1
Asus Tab M1,Asus,tablet,781,3.8,Works well but could be better,0
Microsoft GT13,Microsoft,phone,1078,4.4,Excellent quality and design,1
Apple GT25,Apple,phone,682,4.1,Works well but could be better,1
Xiaomi X 8,Xiaomi,laptop,868,4.2,Excellent quality and design,1
Huawei X28,Huawei,phone,696,4.2,Works well but could be better,1
Samsung GT25,Samsung,phone,1091,4.7,Works well but could be better,1
Microsoft Pro 7,Microsoft,laptop,806,4.3,Great performance and battery life,1
Acer S16,Acer,phone,250,4.1,Not bad but has some issues,1
Dell Book 10,Dell,laptop,1317,5.0,Highly recommended product,1
Microsoft Tab X9,Microsoft,tablet,317,4.4,Very good for the price,1
Dell Tab M9,Dell,tablet,671,4.0,Decent product for daily use,1
Microsoft X 6,Microsoft,laptop,630,4.6,Very good for the price,1
Apple Pro25,Apple,phone,668,4.4,Great performance and battery life,1
Acer Tab M2,Acer,tablet,123,3.5,Very good for the price,0
Realme Tab M9,Realme,tablet,746,4.8,Excellent quality and design,1
Lenovo Air 9,Lenovo,laptop,458,3.8,Not bad but has some issues,0
OnePlus Tab S5,OnePlus,tablet,329,3.9,Excellent quality and design,0
Motorola Elite 12,Motorola,laptop,443,4.0,Fast and reliable device,1
Realme Tab S4,Realme,tablet,136,3.9,Amazing experience overall,0
Microsoft S18,Microsoft,phone,525,4.1,Great performance and battery life,1
HP Tab X3,HP,tablet,412,3.9,Works well but could be better,0
OnePlus Tab M2,OnePlus,tablet,576,3.8,Very good for the price,0
Samsung Tab S2,Samsung,tablet,458,4.8,Highly recommended product,1
Dell Tab S8,Dell,tablet,488,3.7,Not bad but has some issues,0
Samsung GT7,Samsung,phone,849,4.4,Very good for the price,1
Dell Tab X2,Dell,tablet,648,4.5,Decent product for daily use,1
Huawei Pro25,Huawei,phone,757,4.4,Battery lasts long and smooth usage,1
Google X27,Google,phone,956,4.1,Battery lasts long and smooth usage,1
Dell Pro 12,Dell,laptop,777,3.9,Amazing experience overall,0
Google Elite 4,Google,laptop,746,4.4,Battery lasts long and smooth usage,1
Microsoft Tab M3,Microsoft,tablet,622,4.3,Amazing experience overall,1
Huawei Flex 13,Huawei,laptop,1395,4.9,Amazing experience overall,1
Realme X21,Realme,phone,638,3.6,Not bad but has some issues,0
Samsung Flex 3,Samsung,laptop,795,4.7,Decent product for daily use,1
Huawei Pro17,Huawei,phone,800,3.9,Not bad but has some issues,0
Apple Flex 5,Apple,laptop,655,4.7,Excellent quality and design,1
OnePlus Tab X3,OnePlus,tablet,453,4.4,Fast and reliable device,1
MSI Pro16,MSI,phone,1168,3.7,Amazing experience overall,0
Microsoft Tab M7,Microsoft,tablet,635,3.8,Amazing experience overall,0
Microsoft Tab S2,Microsoft,tablet,160,4.6,Excellent quality and design,1
Microsoft X19,Microsoft,phone,166,4.7,Works well but could be better,1
MSI GT10,MSI,phone,909,4.2,Amazing experience overall,1
Apple Tab M1,Apple,tablet,427,4.9,Battery lasts long and smooth usage,1
Motorola X27,Motorola,phone,902,3.6,Great performance and battery life,0
Dell Pro27,Dell,phone,240,4.2,Amazing experience overall,1
Huawei Air 14,Huawei,laptop,716,3.7,Great performance and battery life,0
Asus Tab S10,Asus,tablet,522,4.6,Battery lasts long and smooth usage,1
Dell GT26,Dell,phone,1192,3.8,Excellent quality and design,0
HP Pro 5,HP,laptop,971,3.7,Battery lasts long and smooth usage,0
Motorola Tab X4,Motorola,tablet,218,4.0,Highly recommended product,1
Acer X15,Acer,phone,484,4.7,Battery lasts long and smooth usage,1
Lenovo GT22,Lenovo,phone,1111,4.1,Not bad but has some issues,1
Apple Air 12,Apple,laptop,865,3.8,Fast and reliable device,0
Lenovo Pro 12,Lenovo,laptop,1368,3.9,Decent product for daily use,0
OnePlus Tab S10,OnePlus,tablet,137,4.4,Amazing experience overall,1
Samsung S16,Samsung,phone,992,4.2,Excellent quality and design,1
MSI GT20,MSI,phone,881,4.2,Works well but could be better,1
Dell X12,Dell,phone,1164,4.7,Very good for the price,1
Microsoft Air 9,Microsoft,laptop,1275,4.3,Fast and reliable device,1
Asus Flex 9,Asus,laptop,588,3.9,Battery lasts long and smooth usage,0
Asus Book 5,Asus,laptop,500,3.6,Very good for the price,0
HP Pro6,HP,phone,450,4.6,Highly recommended product,1
Lenovo S17,Lenovo,phone,617,4.4,Very good for the price,1
Dell S9,Dell,phone,1185,4.7,Fast and reliable device,1
Samsung Book 14,Samsung,laptop,1184,4.7,Excellent quality and design,1
Huawei Tab M9,Huawei,tablet,544,4.3,Amazing experience overall,1
OnePlus Tab X9,OnePlus,tablet,535,4.6,Battery lasts long and smooth usage,1
MSI Tab A9,MSI,tablet,382,4.8,Amazing experience overall,1
OnePlus Tab M10,OnePlus,tablet,231,4.0,Very good for the price,1
Microsoft Pro 9,Microsoft,laptop,586,4.8,Not bad but has some issues,1
Dell S8,Dell,phone,1029,4.4,Highly recommended product,1
HP Book 15,HP,laptop,761,4.7,Amazing experience overall,1
Apple Tab A4,Apple,tablet,748,3.9,Fast and reliable device,0
MSI X2,MSI,phone,685,4.9,Battery lasts long and smooth usage,1
OnePlus Flex 15,OnePlus,laptop,929,4.3,Excellent quality and design,1
Realme Pro3,Realme,phone,729,4.6,Works well but could be better,1
OnePlus Tab A5,OnePlus,tablet,770,3.8,Excellent quality and design,0
Apple S23,Apple,phone,965,4.4,Decent product for daily use,1
Apple GT10,Apple,phone,1042,4.0,Works well but could be better,1
Samsung Tab A5,Samsung,tablet,249,4.9,Fast and reliable device,1
Google GT11,Google,phone,1112,3.9,Fast and reliable device,0
Asus Tab M10,Asus,tablet,559,5.0,Not bad but has some issues,1
Realme Tab S3,Realme,tablet,353,3.9,Very good for the price,0
HP Tab A9,HP,tablet,142,3.8,Battery lasts long and smooth usage,0
Realme S20,Realme,phone,209,4.1,Battery lasts long and smooth usage,1
Google Book 8,Google,laptop,1332,3.7,Excellent quality and design,0
HP X 8,HP,laptop,1359,3.5,Decent product for daily use,0
MSI S28,MSI,phone,609,4.1,Not bad but has some issues,1
Asus X 13,Asus,laptop,670,4.6,Very good for the price,1
MSI Pro 4,MSI,laptop,863,4.2,Not bad but has some issues,1
Xiaomi GT9,Xiaomi,phone,915,4.5,Battery lasts long and smooth usage,1
HP Pro24,HP,phone,595,4.3,Battery lasts long and smooth usage,1
MSI X22,MSI,phone,324,3.7,Decent product for daily use,0
HP Flex 9,HP,laptop,1477,4.3,Great performance and battery life,1
Dell Pro 6,Dell,laptop,563,3.6,Amazing experience overall,0
Samsung Tab S6,Samsung,tablet,566,4.3,Decent product for daily use,1
Google X 14,Google,laptop,944,3.9,Very good for the price,0
Lenovo X17,Lenovo,phone,772,3.8,Decent product for daily use,0
Lenovo Air 6,Lenovo,laptop,865,4.7,Works well but could be better,1
Lenovo Tab M9,Lenovo,tablet,366,3.9,Decent product for daily use,0
